benchmark,suite,executor,commit,total_split_count,unforced_split_count,node_created_splitting,node_created_nosplitting
LiquidCartRender,ruby-benchs-steady,TruffleRuby-ce,ef7779bee01a0a4721185c146dbb28b642527fc8,90378,89742,81541,208066
PsychLoad,yjit-benchs-steady,TruffleRuby-ce,ef7779bee01a0a4721185c146dbb28b642527fc8,73414,72865,65932,99746
NBody,game-benchs-interp,TruffleRuby-ce-interp,ef7779bee01a0a4721185c146dbb28b642527fc8,2810,2787,742,5376
OptCarrot,ruby-benchs-interp,TruffleRuby-ce-interp,ef7779bee01a0a4721185c146dbb28b642527fc8,31573,31324,24104,25308
LeeBench,game-benchs-interp,TruffleRuby-ce-interp,ef7779bee01a0a4721185c146dbb28b642527fc8,10707,10580,6667,19011
ImageDemoConv,ruby-benchs-steady,TruffleRuby-ce-native,ef7779bee01a0a4721185c146dbb28b642527fc8,2976,2953,900,5921
LeeBench,game-benchs-steady,TruffleRuby-ce,ef7779bee01a0a4721185c146dbb28b642527fc8,10746,10578,8052,46522
AsciidoctorConvertSmall,ruby-benchs-steady,TruffleRuby-ce-native,ef7779bee01a0a4721185c146dbb28b642527fc8,54486,54294,50527,47584
PsychLoad,yjit-benchs-interp,TruffleRuby-ce-interp,ef7779bee01a0a4721185c146dbb28b642527fc8,13648,13543,9429,43688
LeeBench,game-benchs-steady,TruffleRuby-ce-native,ef7779bee01a0a4721185c146dbb28b642527fc8,10707,10580,6667,19017
LiquidCartRender,ruby-benchs-interp,TruffleRuby-ce-interp,ef7779bee01a0a4721185c146dbb28b642527fc8,26138,25966,20988,152766
LiquidCartRender,ruby-benchs-steady,TruffleRuby-ce-native,ef7779bee01a0a4721185c146dbb28b642527fc8,26138,25966,20988,152982
SinatraHello,ruby-benchs-interp,TruffleRuby-ce-interp,ef7779bee01a0a4721185c146dbb28b642527fc8,73970,73356,59527,297283
AsciidoctorConvertSmall,ruby-benchs-steady,TruffleRuby-ce,ef7779bee01a0a4721185c146dbb28b642527fc8,113323,112678,105889,105476
