benchmark,suite,executor,commit,total_split_count,unforced_split_count,node_created_splitting,node_created_nosplitting
AsciidoctorLoadFileSmall,ruby-benchs-interp,TruffleRuby-ce-interp,6455c7aba50557c32d832f884062edd34a43e2ab,27798,27678,23650,41823
LiquidMiddleware,ruby-benchs-interp,TruffleRuby-ce-interp,6455c7aba50557c32d832f884062edd34a43e2ab,13496,13401,9559,97970
List,game-benchs-steady,TruffleRuby-ce,6455c7aba50557c32d832f884062edd34a43e2ab,3684,3623,2986,32643
Storage,game-benchs-steady,TruffleRuby-ce-native,6455c7aba50557c32d832f884062edd34a43e2ab,3638,3617,733,4888
DeltaBlue,game-benchs-steady,TruffleRuby-ce-native,6455c7aba50557c32d832f884062edd34a43e2ab,11755,11687,8339,8074
RubykonBench,yjit-benchs-steady,TruffleRuby-ce,6455c7aba50557c32d832f884062edd34a43e2ab,12708,12588,10237,39793
ImageDemoSobel,ruby-benchs-steady,TruffleRuby-ce-native,6455c7aba50557c32d832f884062edd34a43e2ab,3669,3646,753,6212
Pidigits,ruby-benchs-steady,TruffleRuby-ce,6455c7aba50557c32d832f884062edd34a43e2ab,3684,3623,2986,32739
NeuralNet,game-benchs-interp,TruffleRuby-ce-interp,6455c7aba50557c32d832f884062edd34a43e2ab,11870,11772,5823,6802
RubykonBench,yjit-benchs-interp,TruffleRuby-ce-interp,6455c7aba50557c32d832f884062edd34a43e2ab,12668,12589,8008,12164
Pidigits,ruby-benchs-interp,TruffleRuby-ce-interp,6455c7aba50557c32d832f884062edd34a43e2ab,3588,3569,709,4853
